1,94
3,18
3,100
4,1
5,96
9,34
10,99
10,58
11,11
11,6
13,39
14,70
15,90
16,4
17,30
17,38
17,33
18,13
20,96
21,39
23,2
24,57
24,20
25,78
25,56
25,54
26,9
26,11
28,42
29,33
29,59
30,54
31,30
32,27
33,99
33,64
33,82
34,49
36,62
37,54
41,65
41,45
43,70
43,8
44,60
45,50
45,64
47,51
47,15
49,69
50,31
52,40
52,44
53,39
54,54
55,25
56,69
56,35
56,47
59,58
59,33
60,88
62,99
63,91
64,45
65,64
66,73
67,16
69,94
70,22
71,38
74,44
74,100
74,64
77,91
78,26
78,82
78,58
80,66
81,52
81,71
81,100
83,2
83,34
84,43
85,68
85,43
89,83
89,58
90,64
91,19
94,49
96,48
96,82
96,79
98,23
98,75
98,75
98,38
99,31
